path,case,color_feat,lbp0,lbp1,lbp2,lbp3,lbp4,lbp5,lbp6,lbp7,lbp8,lbp9,contrast,dissim,homo,asm,energy,corrs,entropy,mth1,mth2,mth3,strong_ratio,med_ratio,weak_ratio,ihc_score,label
./Data_Chula/21 Sep HER2 score 0 case 2/HER2 score 0 case 2 (6).JPG,21 Sep HER2 score 0 case 2,1.5881416666666666,0.0184083333333318,0.05099999999999575,0.0011666666666665694,0.07370833333332719,0.013391666666665551,0.1367999999999886,0.02109999999999824,0.07962499999999337,0.4987083333332918,0.10609166666665783,0.42290151765981293,0.38823722663682625,0.8093478157838856,0.17152756073341405,0.4140034454112611,0.6549197404546862,3.25,193,203,218,0.11958606900650082,0.4772274909260781,0.40318644006733106,0,0
./Data_Chula/21 Sep HER2 score 0 case 2/HER2 score 0 case 2 (20).JPG,21 Sep HER2 score 0 case 2,2.014475,0.018324999999998474,0.04275833333332977,0.0005916666666666173,0.05818333333332849,0.01048333333333246,0.11842499999999014,0.018891666666665093,0.0744749999999938,0.5906166666666175,0.0672499999999944,0.34848369530291723,0.3169309072569942,0.8446898251760953,0.2620212865278595,0.5117768705245154,0.6814335848321236,3.25,199,210,225,0.24441719940447987,0.6281373150012586,0.12744548559417399,0,0
./Data_Chula/21 Sep HER2 score 0 case 2/HER2 score 0 case 2 (9).JPG,21 Sep HER2 score 0 case 2,2.0434666666666668,0.0184333333333318,0.05237499999999563,0.0011333333333332389,0.07405833333332716,0.013666666666665528,0.12864999999998927,0.024141666666664657,0.08274166666665977,0.5067499999999577,0.09804999999999184,0.42292784462549904,0.38503592977706247,0.8112712265963125,0.18139193636595788,0.4257788045579483,0.689912332143399,3.25,199,209,224,0.3253888299752275,0.5162071403322273,0.15840402969245684,0,0
./Data_Chula/21 Sep HER2 score 0 case 2/HER2 score 0 case 2 (26).JPG,21 Sep HER2 score 0 case 2,1.42715,0.01304166666666558,0.03938333333333005,0.0005249999999999563,0.0659499999999945,0.010116666666665823,0.12704999999998942,0.015083333333332076,0.06914999999999424,0.5873083333332844,0.07239166666666064,0.3472976930900272,0.31572802547058837,0.8452929540266497,0.20558631512032388,0.45326687285816486,0.6997081602407991,3.25,192,205,219,0.08375336791362711,0.40196851115302684,0.5142781209332544,0,0
./Data_Chula/21 Sep HER2 score 0 case 2/HER2 score 0 case 2 (2).JPG,21 Sep HER2 score 0 case 2,1.659425,0.014883333333332093,0.04389166666666301,0.0009166666666665903,0.07261666666666061,0.013399999999998883,0.1421666666666548,0.020674999999998278,0.08302499999999308,0.5185083333332902,0.08991666666665918,0.39843415674079286,0.3609228862289502,0.8232896839367092,0.1599188538146595,0.3997537033419236,0.7242536694944468,3.25,196,207,220,0.177578450785176,0.46188099387719234,0.3605405553375404,0,0
./Data_Chula/21 Sep HER2 score 0 case 2/HER2 score 0 case 2 (16).JPG,21 Sep HER2 score 0 case 2,1.9008083333333334,0.015983333333332003,0.03859166666666345,0.0007999999999999334,0.06189166666666151,0.010774999999999103,0.1341666666666555,0.018333333333331807,0.08783333333332602,0.5615666666666199,0.07005833333332749,0.3465731671709933,0.31625215491348213,0.8449060237690099,0.24866360420016234,0.4985697981599086,0.707609382643833,3.25,197,208,223,0.20170277812337128,0.6237269156253334,0.17457030625120648,0,0
./Data_Chula/21 Sep HER2 score 0 case 2/HER2 score 0 case 2 (10).JPG,21 Sep HER2 score 0 case 2,2.0408833333333334,0.01837499999999847,0.04732499999999606,0.0009916666666665841,0.06455833333332796,0.0115916666666657,0.13002499999998918,0.020149999999998322,0.08261666666665979,0.5372583333332885,0.08710833333332607,0.3827236133114279,0.350314318753964,0.8280837700787644,0.1962351596457429,0.44288862928629025,0.7080627047529179,3.25,200,210,225,0.3126880244893376,0.5289315810769929,0.15838039443358154,0,0
./Data_Chula/21 Sep HER2 score 0 case 2/HER2 score 0 case 2 (7).JPG,21 Sep HER2 score 0 case 2,2.0299,0.01733333333333189,0.048174999999995985,0.0012416666666665633,0.06670833333332778,0.013616666666665533,0.13612499999998867,0.02293333333333142,0.08658333333332612,0.5180999999999568,0.0891833333333259,0.4055006995610543,0.3650395515684417,0.8215263390150405,0.1852140912266338,0.43026533441115267,0.7151572437293408,3.25,200,210,224,0.3278954355515269,0.5145094754848656,0.15759508896351848,0,0
./Data_Chula/21 Sep HER2 score 0 case 2/HER2 score 0 case 2 (21).JPG,21 Sep HER2 score 0 case 2,1.80715,0.016174999999998652,0.04481666666666293,0.0008499999999999292,0.06912499999999425,0.012841666666665598,0.1513249999999874,0.022074999999998162,0.0943916666666588,0.4911333333332924,0.09726666666665856,0.4073049139711039,0.36896963527827376,0.8193487102301461,0.20958342652999212,0.45765397331847346,0.6553726307639417,3.25,195,205,220,0.16705867734117646,0.5906520986623776,0.24228922399635722,0,0
./Data_Chula/21 Sep HER2 score 0 case 2/HER2 score 0 case 2 (24).JPG,21 Sep HER2 score 0 case 2,1.52785,0.01563333333333203,0.04616666666666282,0.0005916666666666173,0.07349999999999388,0.011991666666665667,0.13882499999998843,0.015466666666665378,0.07552499999999371,0.5303499999999558,0.09194999999999234,0.3921728163776218,0.362356836209811,0.8218031799118755,0.172808034345812,0.4154795030452773,0.6928639325102489,3.25,194,205,219,0.11361656472658539,0.4540169278594003,0.43236650741392263,0,0
